Username,Comment,Comment Date
@agusamin9542,Prauib presiden rakyat&amp;pilihan rakyat jangan ada yg coba2 mendelegimasi....,2024-03-13T01:31:25Z
@nabhannabhan5306,Alhmdllh,2024-03-13T01:22:51Z
@haidirali3826,"2 putaran 01 di gas ,,nex presiden 01 amin❤",2024-03-13T01:22:25Z
@manisozo7777,"Dikampungku 02 menang telakk padahal kandang redbull 😂😂, ini metro nggak salah nyiarin kah biasanya beritanya 😂 habis kejedot pintu keknya 😅",2024-03-13T01:25:17Z
@gmaolauw2665,anak abah uda nyerah diem2 bae😂,2024-03-13T01:18:53Z
@nikitaCalista,huuh tp sayangnya curang,2024-03-13T01:16:48Z
@muhammadrioseptian1469,Anies sm Ganjar tukar suara yaa 😂😂😂,2024-03-13T01:09:55Z
@Not_Me17.,Name game please,2024-03-13T01:09:11Z
@SamsungA04e-mi6pd,Kalian tunggu aj kebijakan mereka,2024-03-13T01:04:03Z
@ekamuhamad2410,Unggul curang...,2024-03-13T00:59:25Z
@Andi-r6f,Klu Prabowo KLH ini yg GK masuk akal karena di mna2  tiap TPS menang,2024-03-13T00:57:10Z
@user-qh1fh7di3y,Alhamdllh....,2024-03-13T00:56:38Z
@Andi-r6f,Sementara gimana dh pasti duduk jdi presiden dia,2024-03-13T00:55:34Z
@Grrrrrrrrrrr459,Alhamdulillah,2024-03-13T00:53:49Z
@Widanarto01,Prabowo Gibran jelas unggul sampai penghitungan berakhir.<br>Prabowo the next presiden.,2024-03-13T00:52:54Z
@cucunsunarti2630,Mantap,2024-03-13T00:48:54Z
@Mynameismyreligion,02 pilihan 58% rakyat,2024-03-13T00:48:01Z
@jimmypangestu7083,"BEDA 40% SUARA, YG RIBUT CURANG2 SILAHKAN BUKTIKAN KECURANGAN 50 JUTA SUARA",2024-03-13T00:41:30Z
@matsuyama71,Mantap gass kn,2024-03-13T00:35:49Z
@azkathachannel987,"Gilak 02 di jawa timur 😂, selisih  8 juta suara gabungan 01+03 aja 8 jt. 02 16 jt 😂",2024-03-13T00:33:01Z
@sachrowardi7873,"Kalau pemilu dari awal dilaksanakan secara jujur, pemilu 2024 tidak akan ada yg menang mutlak, pasti akan 2 putaran.",2024-03-13T00:27:23Z
@IsmaelMael-xx3fo,"Sudah bikin film dirty vote kok tetep kalah.,,,mas anies mas anies",2024-03-13T00:08:12Z
@bajang1897,Menanti ucapan selamat dan sukses dari 2 pak guru yang ngasi nilai 5 dan 11 kepada sang murid.,2024-03-13T00:00:11Z
@jenigia,"Pemilih indo itu SDM rendah mreka gk tau memilih president yg terbaik,prabowo ketuaan,pelanggar HAM ,gk berpengalaman ,TNI aja di pecat,masa jd presiden ,hukum indo di buat utk rakyat miskin,gk berlaku utk elit2 sprti jokowi &amp; prabowo seenaknya sndri",2024-03-12T23:55:18Z
@MamaKe-w3l,Tumben chenel ini tak stress.mungkin si brewok sudah dapat jatah 😂😂😂😂,2024-03-12T23:36:14Z
@ahmadjaid6684,Yah unggul 02 pasti minta di ulang lagi nih sampai 01 menang😂🤭,2024-03-12T23:10:40Z
@Jika_dahlah,Alhamdulillah mantapp ✌️👍👍👌🇮🇩 lantik 😍😍,2024-03-12T23:04:46Z
